timestamp,condition,camPos,camPos-X,camPos-Y,camPos-Z,camDir,camDir-X,camDir-Y,camDir-Z,task,user
636056668609710679,SpatialInputCamera,CameraPosition,620.0519,647.1558,-1418.796,CameraDirection,-0.02874088,-0.5297664,0.8476564,NT,user-01
636056668609866744,SpatialInputCamera,CameraPosition,620.0519,647.1558,-1418.796,CameraDirection,-0.02874088,-0.5297664,0.8476564,NT,user-01
636056668610023170,SpatialInputCamera,CameraPosition,617.3658,648.0488,-1418.42,CameraDirection,-0.03377365,-0.532725,0.8456143,NT,user-01
636056668610179427,SpatialInputCamera,CameraPosition,614.9431,648.9173,-1418.353,CameraDirection,-0.04145153,-0.5348911,0.8439034,NT,user-01
636056668610335496,SpatialInputCamera,CameraPosition,613.9175,649.2573,-1418.304,CameraDirection,-0.04655022,-0.5351565,0.8434696,NT,user-01
636056668610491750,SpatialInputCamera,CameraPosition,613.9175,649.2573,-1418.304,CameraDirection,-0.04655022,-0.5351565,0.8434696,NT,user-01
636056668610647979,SpatialInputCamera,CameraPosition,613.9175,649.2573,-1418.304,CameraDirection,-0.04655022,-0.5351565,0.8434696,NT,user-01
636056668610804232,SpatialInputCamera,CameraPosition,611.9114,649.6362,-1418.202,CameraDirection,-0.06109312,-0.5313116,0.8449709,NT,user-01
636056668610960675,SpatialInputCamera,CameraPosition,611.9114,649.6362,-1418.202,CameraDirection,-0.06109312,-0.5313116,0.8449709,NT,user-01
636056668611116933,SpatialInputCamera,CameraPosition,610.8436,649.6546,-1418.066,CameraDirection,-0.07477622,-0.5261692,0.847086,NT,user-01
636056668611273174,SpatialInputCamera,CameraPosition,610.8436,649.6546,-1418.066,CameraDirection,-0.07477622,-0.5261692,0.847086,NT,user-01
636056668611429432,SpatialInputCamera,CameraPosition,609.8494,649.9436,-1418.087,CameraDirection,-0.08987276,-0.5244365,0.8466935,NT,user-01
636056668611741914,SpatialInputCamera,CameraPosition,609.3627,650.0716,-1418.085,CameraDirection,-0.09613468,-0.5246497,0.8458731,NT,user-01
636056668611898127,SpatialInputCamera,CameraPosition,609.3627,650.0716,-1418.085,CameraDirection,-0.09613468,-0.5246497,0.8458731,NT,user-01
636056668612054384,SpatialInputCamera,CameraPosition,608.2737,650.1586,-1418.235,CameraDirection,-0.1046985,-0.5256672,0.8442232,NT,user-01
636056668612210486,SpatialInputCamera,CameraPosition,607.7839,650.0689,-1418.275,CameraDirection,-0.1085617,-0.5265627,0.8431765,NT,user-01
636056668612366740,SpatialInputCamera,CameraPosition,607.7839,650.0689,-1418.275,CameraDirection,-0.1085617,-0.5265627,0.8431765,NT,user-01
636056668612523186,SpatialInputCamera,CameraPosition,606.6014,649.4952,-1418.339,CameraDirection,-0.1108639,-0.5281447,0.841886,NT,user-01
636056668612679436,SpatialInputCamera,CameraPosition,606.6014,649.4952,-1418.339,CameraDirection,-0.1108639,-0.5281447,0.841886,NT,user-01
636056668612835492,SpatialInputCamera,CameraPosition,605.2774,648.6433,-1418.691,CameraDirection,-0.1089927,-0.5304645,0.8406711,NT,user-01
636056668612991742,SpatialInputCamera,CameraPosition,604.6514,648.1084,-1419.094,CameraDirection,-0.1068832,-0.5327221,0.8395137,NT,user-01
636056668613147995,SpatialInputCamera,CameraPosition,603.6937,647.2908,-1419.739,CameraDirection,-0.1036018,-0.5363408,0.8376188,NT,user-01
636056668613304245,SpatialInputCamera,CameraPosition,603.0347,646.7208,-1420.108,CameraDirection,-0.1011629,-0.5384887,0.8365383,NT,user-01
636056668613460494,SpatialInputCamera,CameraPosition,603.0347,646.7208,-1420.108,CameraDirection,-0.1011629,-0.5384887,0.8365383,NT,user-01
